_id,nazivSerije,ocjenaIMDb,zanr,redatelj.ime,redatelj.prezime,redatelj.wikipediaStranicaRedatelja,glumci,wikipediaStranicaSerije,brojSezona,godinaSnimanjaOdDo,infoSerije,urlPostera
5f97108173c2c22ef41f44e8,12 Monkeys,7.7,"[""Avantura"",""Drama"",""Misterij""]",Travis,Fickett,https://en.wikipedia.org/wiki/Terry_Gilliam,"[{""ime"":""Aaron"",""prezime"":""Stanford"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Aaron_Stanford""},{""ime"":""Amanda"",""prezime"":""Schull"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Amanda_Schull""},{""ime"":""Noah"",""prezime"":""Bean"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Noah_Bean""}]",https://en.wikipedia.org/wiki/12_Monkeys_(TV_series),4,2015-2018,"James Cole, vremenski putnik iz distopijske, bolescu poharane buducnosti, stize u sadasnjost s ocajnickim zadatkom da promijeni tijek povijesti. Inspirirano istoimenim hit filmom iz 1995. godine.",https://i.pinimg.com/originals/54/58/9c/54589c20f2ee47bb77092c2b3aea90ac.jpg
5f97108173c2c22ef41f44e9,Mr.Robot,8.6,"[""Drama"",""Triler"",""Misterij""]",Sam,Esmail,https://en.wikipedia.org/wiki/Sam_Esmail,"[{""ime"":""Rami"",""prezime"":""Malek"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Rami_Malek""},{""ime"":""Cristian"",""prezime"":""Slater"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Christian_Slater""}]",https://en.wikipedia.org/wiki/Mr._Robot,4,2015-2019,"Dramska serija Mr. Robot prati Elliota Aldersona (Rami Malek), mladog inzenjera kibersigurnosti koji se spetlja s podzemnom hakerskom skupinom nakon sto ga regrutira njihov tajanstveni voda (Christian Slater).",https://images-na.ssl-images-amazon.com/images/I/A1fn0Ov4srL._AC_SL1500_.jpg
5f97108173c2c22ef41f44ea,Doctor Who,8.6,"[""Avantura"",""Drama""]",Sydney,Newman,https://en.wikipedia.org/wiki/Sydney_Newman,"[{""ime"":""Jodie"",""prezime"":""Whittaker"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Jodie_Whittaker""},{""ime"":""Peter"",""prezime"":""Capaldi"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Peter_Capaldi""},{""ime"":""Pearl"",""prezime"":""Mackie"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Pearl_Mackie""}]",https://en.wikipedia.org/wiki/Doctor_Who,12,2005-,"Govori o pustolovinama tajanstvenog izvanzemaljca, poznatijeg kao Doktor, koji putuje kroz vrijeme i prostor u svom vremenskom stroju, TARDIS-u. Putujuci sa svojim mnogim suputnicima istrazuje svemir i vrijeme, rjesava probleme te se susrece s razlicitim cudovistima.",https://images-na.ssl-images-amazon.com/images/I/61e2LaUbu9L._AC_SL1024_.jpg
5f97108173c2c22ef41f44eb,Punisher,8.5,"[""Akcija"",""Drama"",""Krim""]",Steve,Lightfoot,https://en.wikipedia.org/wiki/Steve_Lightfoot,"[{""ime"":""Jon"",""prezime"":""Bernthal"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Jon_Bernthal""},{""ime"":""Amber"",""prezime"":""Rose Revah"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Amber_Rose_Revah""}]",https://en.wikipedia.org/wiki/The_Punisher_(TV_series),2,2017-2019,Nakon sto mu zlocinac ubije cijelu obitelj bivsi vojnik krece u osvetnicku misiju,"https://m.media-amazon.com/images/M/MV5BMTExODIwOTUxNzFeQTJeQWpwZ15BbWU4MDE5MDA0MTcz._V1_UX182_CR0,0,182,268_AL_.jpg"
5f97108173c2c22ef41f44ec,Dark,8.8,"[""Krim"",""Drama"",""Misterij""]",Baran,bo Odar,https://en.wikipedia.org/wiki/Baran_bo_Odar,"[{""ime"":""Louis"",""prezime"":""Hofmann"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Louis_Hofmann""},{""ime"":""Karoline"",""prezime"":""Eichhorn"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Karoline_Eichhorn""},{""ime"":""Lisa"",""prezime"":""Vicari"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Lisa_Vicari""}]",https://en.wikipedia.org/wiki/Dark_(TV_series),3,2017-2020,"Nakon nestanka djeteta, cetiri obitelji ocajnicki traze odgovore i rjesenje zagonetke koja obuhvaca tri generacije.","https://m.media-amazon.com/images/M/MV5BZmY2YzU4NDktODIxYi00YWIyLWIzYTctODBkYzYzZjc0ODdlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX182_CR0,0,182,268_AL_.jpg"
5f97108173c2c22ef41f44ed,Modern Family,8.4,"[""Komedija"",""Drama"",""Romansa""]",Steven,Levitan,https://en.wikipedia.org/wiki/Steven_Levitan,"[{""ime"":""Ed"",""prezime"":""O'Neill"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Ed_O%27Neill""},{""ime"":""Sof�a"",""prezime"":""Vergara"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Sof�a_Vergara""},{""ime"":""Julie"",""prezime"":""Bowen"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Julie_Bowen""}]",https://en.wikipedia.org/wiki/Modern_Family,11,2009-2020,Satiricni pogled na tri razlicite obitelji iz perspektive nevidljivog snimatelja dokumentaraca,"https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX182_CR0,0,182,268_AL_.jpg"
5f97108173c2c22ef41f44ee,13 Reasons Why,7.6,"[""Drama"",""Misterij""]",Brian,Yorkey,https://en.wikipedia.org/wiki/Steven_Levitan,"[{""ime"":""Dylan"",""prezime"":""Minnette"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Dylan_Minnette""},{""ime"":""Katherine"",""prezime"":""Langford"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Katherine_Langford""},{""ime"":""Christian"",""prezime"":""Navarro"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Christian_Navarro""}]",https://en.wikipedia.org/wiki/13_Reasons_Why,4,2017-2020,Nakon samoubojstva tinejdzerice Hanne njezini kolege iz skole dobiju seriju audio kaseta koje ce otkriti razloge njezinog tragicnog izbora. Prva sezona serije snimljena je prema istoimenom romanu Jaya Ashera dok su ostale sezone originalne price.,"https://m.media-amazon.com/images/M/MV5BMDYzZTRlNGEtZDc2Mi00ZGNjLTlmZDAtMmVjMDZkOThiODEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5f97108173c2c22ef41f44ef,Brooklyn Nine-Nine,8.4,"[""Komedija"",""Krim""]",Dan,Goor,https://en.wikipedia.org/wiki/Dan_Goor,"[{""ime"":""Andy"",""prezime"":""Samberg"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Andy_Samberg""},{""ime"":""Stephanie"",""prezime"":""Beatriz"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Stephanie_Beatriz""},{""ime"":""Terry"",""prezime"":""Crews"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Terry_Crews""}]",https://en.wikipedia.org/wiki/Brooklyn_Nine-Nine,7,2013-,Serija radnjom prati ekipu detektiva i novo im dodijeljenog policijskog kapetana,"https://m.media-amazon.com/images/M/MV5BNzVkYWY4NzYtMWFlZi00YzkwLThhZDItZjcxYTU4ZTMzMDZmXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX182_CR0,0,182,268_AL_.jpg"
5f97108173c2c22ef41f44f0,The Big Bang Theory,8.1,"[""Komedija"",""Romansa""]",Mark,Cendrowski,https://en.wikipedia.org/wiki/Mark_Cendrowski,"[{""ime"":""Johnny"",""prezime"":""Galecki"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Johnny_Galecki""},{""ime"":""Jim"",""prezime"":""Parsons"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Jim_Parsons""},{""ime"":""Kaley"",""prezime"":""Cuoco"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Kaley_Cuoco""}]",https://en.wikipedia.org/wiki/The_Big_Bang_Theory,12,2007-2019,Serija radnjom prati ekipu znanstvenika,"https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX182_CR0,0,182,268_AL_.jpg"
5f97108173c2c22ef41f44f1,CSI:Miami,6.4,"[""Akcija"",""Drama"",""Krim""]",Joe,Chappelle,https://en.wikipedia.org/wiki/Joe_Chappelle,"[{""ime"":""David"",""prezime"":""Caruso"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/David_Caruso""},{""ime"":""Emily"",""prezime"":""Procter"",""wikipediaStranicaGlumca"":""https://en.wikipedia.org/wiki/Emily_Procter""}]",https://en.wikipedia.org/wiki/CSI:_Miami,10,2002-2012,"CSI: Miami prati slucajeve juznofloridskog tima istrazitelja koji, koristeci se posljednjim detektivsko-znanstvenim, ali i onim klasicnim policijskim metodama, rjesava najbizarnije i najkompliciranije zlocine","https://m.media-amazon.com/images/M/MV5BOTU3ZTI5ZGEtYjhiMy00ODU4LTgyM2UtNDhlYjBhMjc4MjIwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_UY268_CR0,0,182,268_AL_.jpg"
